,best_train_loss,best_train_loss_idx,best_test_loss,best_test_loss_idx,best_train_auc,best_train_auc_idx,best_test_auc,best_test_auc_idx,std,n_hidden,drop,batchnorm,batchsize,act,encoding,identifier,seed,elapsed_seconds
0,0.4283414416503906,500,0.6524952472867193,383,0.7492,500,0.6704,216,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,0,63
0,0.4196132800579071,449,0.6593784013309995,3,0.7668,492,0.6739,132,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,0,61
0,0.42730640314102175,498,0.6409963851370967,85,0.753,435,0.667,177,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,1,70
0,0.4217849804496765,491,0.6508626757115663,3,0.7635,491,0.6618,397,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,1,68
0,0.42401539979934694,426,0.6516144887193457,86,0.7555,492,0.6832,76,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,2,71
0,0.417636010389328,449,0.6569323059800384,2,0.7696,449,0.6745,393,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,2,68
0,0.42670569038391115,498,0.6408267715753784,4,0.7551,463,0.6575,488,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,3,63
0,0.4210915145015717,472,0.6422650976969255,4,0.7648,455,0.6527,358,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,3,60
0,0.42550163840293886,393,0.6243165512432052,422,0.7595,439,0.6704,446,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,4,71
0,0.4213820107460022,466,0.6324265729409984,496,0.7682,466,0.6719,500,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,4,69
0,0.4276332098007202,498,0.6466440909415587,195,0.7511,498,0.6752,150,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,5,62
0,0.4218449832248688,467,0.6503064468347237,284,0.7615,409,0.6954,105,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,5,60
0,0.4290145345020294,478,0.6520394942034846,202,0.7536,472,0.661,236,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,6,63
0,0.42080813371658327,436,0.6554295722989069,2,0.7681,417,0.6542,141,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,6,60
0,0.4240601827049255,485,0.6683452764869983,1,0.7638,485,0.6675,417,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,7,63
0,0.4208884646320343,450,0.668150282903,1,0.7653,490,0.6647,494,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,7,60
0,0.4275352874565124,466,0.6245162293717668,114,0.7536,466,0.686,86,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,8,63
0,0.42014363226890566,464,0.6272499577419178,179,0.77,464,0.6908,479,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,8,60
0,0.42841402800559997,479,0.6581792593002319,2,0.7481,479,0.673,89,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,9,62
0,0.42283374059677126,500,0.6576864036269809,2,0.7616,389,0.6464,313,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,9,61
0,0.4279588390350342,400,0.6424186418217759,85,0.7542,480,0.6639,52,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,10,63
0,0.4206963985347748,487,0.6439821858510675,3,0.7681,487,0.6879,379,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,10,60
0,0.42697027585983277,462,0.6155465832747866,72,0.7566,406,0.7232,73,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,11,70
0,0.4217862106513977,434,0.6277263111111083,437,0.7668,461,0.7203,60,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,11,67
0,0.4293282650470734,488,0.6257061978760551,90,0.7507,488,0.6794,61,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,12,71
0,0.4227660656452179,495,0.6401116383832274,3,0.7616,481,0.6726,260,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,12,68
0,0.4282124091339111,428,0.6438366804324406,421,0.7511,499,0.6881,459,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,13,71
0,0.4212374515342712,485,0.6439426583303532,424,0.7666,482,0.6919,340,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,13,69
0,0.4266427944087982,473,0.6639471848805746,2,0.7527,473,0.6507,325,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,14,62
0,0.41907586369514466,421,0.6653334763314989,2,0.7652,490,0.6597,494,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,14,60
0,0.4216422568702698,495,0.665292624417726,2,0.7638,495,0.6522,108,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,15,62
0,0.41716590934753417,498,0.6652660608291626,2,0.7719,498,0.6622,489,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,15,59
0,0.42618414833068846,479,0.6538340252007234,273,0.7495,439,0.7061,72,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,16,63
0,0.4206747525691986,396,0.6621665979001302,2,0.7608,412,0.6888,370,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,16,60
0,0.43099497826576233,472,0.6571273804765887,2,0.7474,472,0.6677,268,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,17,62
